UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2016,10,1,Men Without Women,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,1,In Our Time,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,8,A Moveable Feast: The Restored Edition,,Ernest Hemingway,"Biography & Autobiography, Nonfiction","Simon & Schuster, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2016,10,2,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,EBOOK,2016,10,7,The Sun Also Rises,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,2,The Snows of Kilimanjaro and Other Stories,,Ernest Hemingway,"Classic Literature, Fiction, Short Stories","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,1,To Have and Have Not,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2016,10,3,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,EBOOK,2016,10,1,The Garden of Eden,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,1,Nick Adams Stories,,Ernest Hemingway,"Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,2,The Complete Short Stories of Ernest Hemingway: The Finca Vigia Edition,,Ernest Hemingway,"Fiction, Short Stories","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,1,The Torrents of Spring,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,5,The Old Man and the Sea,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,4,For Whom the Bell Tolls,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,10,1,Death in the Afternoon,,Ernest Hemingway,"History, Literary Criticism, Nonfiction, Sociology","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,1,Across the River and Into the Trees,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,2,In Our Time,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,2,Islands in the Stream: A Novel,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,7,For Whom the Bell Tolls,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,3,The Old Man and the Sea,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,3,A Farewell to Arms: The Hemingway Library Edition,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,1,To Have and Have Not,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,2,The Snows of Kilimanjaro and Other Stories,,Ernest Hemingway,"Classic Literature, Fiction, Short Stories","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,1,The Complete Short Stories of Ernest Hemingway: The Finca Vigia Edition,,Ernest Hemingway,"Fiction, Short Stories","Simon & Schuster, Inc.",2014
Digital,OverDrive,EBOOK,2016,11,1,The Garden of Eden,,Ernest Hemingway,"Classic Literature, Fiction, Literature","Simon & Schuster, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2016,11,3,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2016,11,3,The Snows of Kilimanjaro and Other Stories (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2014
Digital,OverDrive,EBOOK,2016,11,1,Green Hills of Africa,,Ernest Hemingway,"Nonfiction, Travel","Simon & Schuster, Inc.",2014
Digital,OverDrive,AUDIOBOOK,2016,11,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
