UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2016,10,2,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2016,10,3,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2016,11,3,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2016,11,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2016,11,1,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2016,12,3,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2016,12,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2017,1,3,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2017,1,4,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2017,1,4,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,7,1,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,7,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,8,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,8,2,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,8,1,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,9,1,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,9,2,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,9,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,10,3,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,10,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,11,1,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,11,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,11,1,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,12,1,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,12,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2012,12,1,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2013,1,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2013,1,1,The Short Stories Volume III (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2013,1,2,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2013,2,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2013,4,1,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2013,5,1,The Short Stories  of Ernest Hemingway: Volume I (unabridged) (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
Digital,OverDrive,AUDIOBOOK,2013,5,1,The Short Stories Volume II (Unabridged),,Ernest Hemingway,"Fiction, Literature",Simon & Schuster - All Library,2012
